rider_1,rider_2,coattendance_count,tie_strength
R002748,R009679,3,0.48650807502743476
R002503,R002748,3,1.3759237990225244
R001683,R008856,3,1.4386411883908123
R002509,R005986,4,1.649604045975366
R004605,R007662,4,0.96115610435924
R003474,R007942,3,0.6986888823758025
R004252,R007385,3,1.4819321825218077
R003991,R006959,4,0.7033975122275641
R005986,R008083,4,1.8475884131077094
R002996,R004605,3,0.4080107260121551
R006091,R008079,34,15.486874950847078
R002832,R005409,3,0.7538400031926745
R001553,R005674,3,0.7712370289637408
R000968,R005124,3,0.6593832223610397
R003809,R004605,3,0.35405099133685913
R002279,R004172,3,1.597945106219397
R000574,R001913,3,0.9567252778418582
R002769,R004230,8,3.595288779201301
R007347,R008030,3,1.250469447220586
R004875,R005986,6,3.143157945390588
R001588,R002818,3,1.0532801756058192
R002354,R006292,3,0.8728680889688825
R003399,R007070,3,0.885218769685335
R003399,R009490,3,1.1472857597324397
R007178,R008590,3,0.8753731768668976
R001069,R009103,3,0.8534310049528103
R006021,R007762,3,1.5851543478847765
R000261,R002160,3,1.7056025501425651
R004590,R007942,3,0.863444563252277
R000931,R006662,3,0.6586943381438929
R003380,R006782,4,1.204779750480712
R000277,R007770,3,1.080764496496941
R000703,R009852,4,1.3954894450670334
R005982,R005992,3,0.49090525816554964
R000002,R000142,3,1.2205364682808268
R003855,R004386,3,0.7514108533163585
R001642,R007279,3,1.1536374803137275
R006959,R009103,4,1.3090376907923853
R001533,R009901,3,1.5186388252168685
R001913,R005324,3,0.35297151360325596
R004840,R006383,3,1.4705105892679922
R001533,R003290,4,1.5029229413238347
R004941,R007347,3,0.45093095623381985
